id,event_type,route,port_id,severity,description,event_date,source
589,weather,India-Chennai,10,Low,[Tuticorin (V.O.C.) / India-Chennai] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-02-01,JTWC Cyclone Warning
590,weather,Indonesia-Dhamra,11,High,[Mundra / Indonesia-Dhamra] Dense fog conditions restricting channel navigation to daylight hours only.,2023-03-28,India Meteorological Department (IMD)
591,weather,Indonesia-Gangavaram,25,Medium,[Beira / Indonesia-Gangavaram] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2022-06-17,India Meteorological Department (IMD)
592,port_congestion,India-Haldia,9,Low,[Kamarajar (Ennore) / India-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-01-17,Terminal Operations Log
593,weather,USA-Mundra,9,Low,[Kamarajar (Ennore) / USA-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2022-08-15,India Meteorological Department (IMD)
594,port_congestion,Indonesia-Mundra,22,Medium,[Norfolk (Hampton Roads) / Indonesia-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-01-01,Terminal Operations Log
595,weather,Australia-Dhamra,27,High,[Vanino / Australia-Dhamra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-03-27,JTWC Cyclone Warning
596,geopolitical,India-Haldia,16,Medium,[Gladstone / India-Haldia] Canal transit quota reduction increasing reservation auction premiums.,2024-10-28,Lloyd's List Intelligence
597,port_congestion,USA-Visakhapatnam,10,High,[Tuticorin (V.O.C.) / USA-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-03-10,Port Authority Circular
598,port_congestion,USA-Mundra,17,Low,[Newcastle / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-01-05,Terminal Operations Log
599,port_congestion,Indonesia-Haldia,18,Medium,[Port Hedland / Indonesia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2022-08-08,AIS Congestion Tracker
600,port_congestion,Australia-Dhamra,9,Medium,[Kamarajar (Ennore) / Australia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-07-09,Port Authority Circular
601,weather,Australia-Mundra,29,Medium,[Port Klang / Australia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2023-03-18,JTWC Cyclone Warning
602,port_congestion,Australia-Haldia,12,Low,[Kandla (Deendayal) / Australia-Haldia] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-05-30,Terminal Operations Log
603,geopolitical,Indonesia-Gangavaram,25,Low,[Beira / Indonesia-Gangavaram] Export tariff modification announced by major coal-producing authority.,2021-03-17,Lloyd's List Intelligence
604,freight_anomaly,USA-Visakhapatnam,15,High,[Hay Point / USA-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-07-19,FreightIQ Anomaly Engine
605,weather,Australia-Paradip,4,Medium,[Dhamra / Australia-Paradip] Dense fog conditions restricting channel navigation to daylight hours only.,2022-10-17,JTWC Cyclone Warning
606,port_congestion,USA-Paradip,24,Medium,[Maputo / USA-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-06-23,Terminal Operations Log
607,port_congestion,India-Chennai,4,Medium,[Dhamra / India-Chennai] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-05-17,Port Authority Circular
608,port_congestion,India-Chennai,27,High,[Vanino / India-Chennai] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2023-06-08,Port Authority Circular
609,port_congestion,Australia-Paradip,8,Low,[Chennai / Australia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-08-29,Terminal Operations Log
610,geopolitical,USA-Paradip,22,Low,[Norfolk (Hampton Roads) / USA-Paradip] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2021-09-08,Lloyd's List Intelligence
611,freight_anomaly,USA-Paradip,24,Medium,[Maputo / USA-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2025-02-12,FreightIQ Anomaly Engine
612,weather,Australia-Haldia,20,Medium,[Tanjung Priok / Australia-Haldia] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2024-01-25,JTWC Cyclone Warning
613,weather,USA-Paradip,20,Low,[Tanjung Priok / USA-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2023-02-11,JTWC Cyclone Warning
614,port_congestion,Indonesia-Mundra,30,Medium,[Colombo / Indonesia-Mundra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2025-04-27,AIS Congestion Tracker
615,port_congestion,Indonesia-Paradip,27,Medium,[Vanino / Indonesia-Paradip] High yard inventory utilization (>92%) slowing down discharge rates.,2026-01-04,Port Authority Circular
616,geopolitical,Australia-Gangavaram,6,Low,[Haldia / Australia-Gangavaram] Export tariff modification announced by major coal-producing authority.,2021-04-11,Ministry Trade Notice
617,geopolitical,Russia-Visakhapatnam,28,Low,[Singapore / Russia-Visakhapatnam] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2021-08-15,Maritime Security Advisory
618,freight_anomaly,Indonesia-Mundra,27,Medium,[Vanino / Indonesia-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2025-07-12,Baltic Exchange Market Monitor
619,freight_anomaly,Australia-Visakhapatnam,23,High,[Baltimore / Australia-Visakhapatnam] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-08-26,Baltic Exchange Market Monitor
620,weather,Australia-Mundra,10,Low,[Tuticorin (V.O.C.) / Australia-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-10-09,India Meteorological Department (IMD)
621,port_congestion,Australia-Gopalpur,31,Medium,[Rotterdam / Australia-Gopalpur] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-04-01,Terminal Operations Log
622,weather,Australia-Haldia,31,High,[Rotterdam / Australia-Haldia] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-06-28,Marine Weather Routing Service
623,freight_anomaly,India-Haldia,11,Medium,[Mundra / India-Haldia] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-11-19,FreightIQ Anomaly Engine
624,port_congestion,Russia-Paradip,29,Low,[Port Klang / Russia-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-05-25,AIS Congestion Tracker
625,port_congestion,USA-Visakhapatnam,12,High,[Kandla (Deendayal) / USA-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2023-12-04,Port Authority Circular
626,freight_anomaly,Russia-Paradip,29,Low,[Port Klang / Russia-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2021-04-24,FreightIQ Anomaly Engine
627,port_congestion,Mozambique-Paradip,32,Low,[Shanghai (Qingdao) / Mozambique-Paradip] High yard inventory utilization (>92%) slowing down discharge rates.,2025-02-18,AIS Congestion Tracker
628,geopolitical,Australia-Gopalpur,7,Low,[Kolkata / Australia-Gopalpur] Canal transit quota reduction increasing reservation auction premiums.,2024-05-10,Maritime Security Advisory
629,geopolitical,Australia-Dhamra,23,High,[Baltimore / Australia-Dhamra] Sanction compliance verification tightening on Far East coal flows.,2025-03-23,Maritime Security Advisory
630,freight_anomaly,Mozambique-Paradip,31,Low,[Rotterdam / Mozambique-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2022-01-25,Clarksons Intelligence
631,weather,USA-Paradip,4,Medium,[Dhamra / USA-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-09-16,Marine Weather Routing Service
632,port_congestion,Australia-Visakhapatnam,14,Low,[Cochin / Australia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-04-03,Terminal Operations Log
633,port_congestion,USA-Mundra,1,Medium,[Paradip / USA-Mundra] High yard inventory utilization (>92%) slowing down discharge rates.,2021-02-15,AIS Congestion Tracker
634,freight_anomaly,USA-Mundra,28,Medium,[Singapore / USA-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-06-08,FreightIQ Anomaly Engine
635,port_congestion,Mozambique-Paradip,3,Medium,[Gangavaram / Mozambique-Paradip] High yard inventory utilization (>92%) slowing down discharge rates.,2024-06-11,AIS Congestion Tracker
636,weather,Australia-Dhamra,24,High,[Maputo / Australia-Dhamra] Dense fog conditions restricting channel navigation to daylight hours only.,2022-04-09,India Meteorological Department (IMD)
637,weather,Russia-Visakhapatnam,29,Low,[Port Klang / Russia-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-03-23,India Meteorological Department (IMD)
638,port_congestion,India-Haldia,28,Low,[Singapore / India-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2021-04-10,Terminal Operations Log
639,geopolitical,Indonesia-Haldia,26,High,[Vostochny / Indonesia-Haldia] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2024-12-02,Lloyd's List Intelligence
640,freight_anomaly,Australia-Paradip,31,Medium,[Rotterdam / Australia-Paradip] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2024-07-13,FreightIQ Anomaly Engine
641,weather,India-Haldia,2,High,[Visakhapatnam / India-Haldia] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-04-27,JTWC Cyclone Warning
642,weather,Indonesia-Paradip,31,High,[Rotterdam / Indonesia-Paradip] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2025-12-08,Marine Weather Routing Service
643,weather,Australia-Gopalpur,10,Medium,[Tuticorin (V.O.C.) / Australia-Gopalpur] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-02-12,India Meteorological Department (IMD)
644,port_congestion,Russia-Paradip,19,Low,[Balikpapan / Russia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-11-29,AIS Congestion Tracker
645,freight_anomaly,USA-Gangavaram,20,Low,[Tanjung Priok / USA-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-11-12,FreightIQ Anomaly Engine
646,geopolitical,Australia-Paradip,31,Low,[Rotterdam / Australia-Paradip] Sanction compliance verification tightening on Far East coal flows.,2025-10-12,Maritime Security Advisory
647,port_congestion,Australia-Haldia,19,Medium,[Balikpapan / Australia-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-07-02,Terminal Operations Log
648,weather,Mozambique-Paradip,32,Medium,[Shanghai (Qingdao) / Mozambique-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2025-06-08,JTWC Cyclone Warning
649,port_congestion,Australia-Gangavaram,17,Medium,[Newcastle / Australia-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2025-08-16,Port Authority Circular
650,weather,Indonesia-Paradip,5,High,[Gopalpur / Indonesia-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2025-07-13,JTWC Cyclone Warning
651,geopolitical,Australia-Gopalpur,3,Low,[Gangavaram / Australia-Gopalpur] Sanction compliance verification tightening on Far East coal flows.,2022-02-03,Lloyd's List Intelligence
652,freight_anomaly,Mozambique-Gangavaram,28,Medium,[Singapore / Mozambique-Gangavaram] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2021-10-18,Baltic Exchange Market Monitor
653,freight_anomaly,Indonesia-Mundra,30,Medium,[Colombo / Indonesia-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-06-18,Clarksons Intelligence
654,port_congestion,Indonesia-Dhamra,8,High,[Chennai / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-02-02,Port Authority Circular
655,port_congestion,Indonesia-Mundra,13,Low,[Nhava Sheva (JNPT) / Indonesia-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-08-08,AIS Congestion Tracker
656,port_congestion,Australia-Visakhapatnam,4,Medium,[Dhamra / Australia-Visakhapatnam] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-12-25,Terminal Operations Log
657,port_congestion,Australia-Gangavaram,1,High,[Paradip / Australia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-05-28,Terminal Operations Log
658,port_congestion,Mozambique-Paradip,30,Medium,[Colombo / Mozambique-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-07-06,Port Authority Circular
659,port_congestion,Australia-Paradip,23,Low,[Baltimore / Australia-Paradip] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2022-03-21,Terminal Operations Log
660,freight_anomaly,Australia-Paradip,14,Medium,[Cochin / Australia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2021-05-08,FreightIQ Anomaly Engine
661,geopolitical,USA-Visakhapatnam,6,High,[Haldia / USA-Visakhapatnam] Sanction compliance verification tightening on Far East coal flows.,2023-02-15,Maritime Security Advisory
662,weather,Mozambique-Paradip,32,Low,[Shanghai (Qingdao) / Mozambique-Paradip] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2026-01-23,Marine Weather Routing Service
663,geopolitical,India-Chennai,28,Low,[Singapore / India-Chennai] Sanction compliance verification tightening on Far East coal flows.,2022-12-30,Maritime Security Advisory
664,freight_anomaly,Australia-Visakhapatnam,15,High,[Hay Point / Australia-Visakhapatnam] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-05-27,Baltic Exchange Market Monitor
665,freight_anomaly,India-Chennai,31,Medium,[Rotterdam / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2025-10-24,FreightIQ Anomaly Engine
666,port_congestion,Australia-Paradip,7,Low,[Kolkata / Australia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-08-20,Port Authority Circular
667,geopolitical,Australia-Haldia,16,Medium,[Gladstone / Australia-Haldia] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2025-03-02,Maritime Security Advisory
668,weather,Indonesia-Mundra,14,High,[Cochin / Indonesia-Mundra] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-09-06,India Meteorological Department (IMD)
669,freight_anomaly,Australia-Gangavaram,15,Low,[Hay Point / Australia-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2024-04-22,FreightIQ Anomaly Engine
670,freight_anomaly,India-Haldia,29,Low,[Port Klang / India-Haldia] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2025-07-27,Clarksons Intelligence
671,weather,India-Chennai,7,Low,[Kolkata / India-Chennai] Dense fog conditions restricting channel navigation to daylight hours only.,2023-10-28,JTWC Cyclone Warning
672,geopolitical,Australia-Mundra,23,Low,[Baltimore / Australia-Mundra] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2022-06-06,Ministry Trade Notice
673,freight_anomaly,Indonesia-Haldia,19,Medium,[Balikpapan / Indonesia-Haldia] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2025-03-27,FreightIQ Anomaly Engine
674,freight_anomaly,Russia-Visakhapatnam,30,Medium,[Colombo / Russia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-12-29,FreightIQ Anomaly Engine
675,freight_anomaly,Mozambique-Paradip,11,Low,[Mundra / Mozambique-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-06-07,Baltic Exchange Market Monitor
676,geopolitical,India-Chennai,12,Low,[Kandla (Deendayal) / India-Chennai] Sanction compliance verification tightening on Far East coal flows.,2021-09-25,Ministry Trade Notice
677,port_congestion,Indonesia-Visakhapatnam,23,Medium,[Baltimore / Indonesia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2021-04-28,Port Authority Circular
678,weather,USA-Mundra,19,Medium,[Balikpapan / USA-Mundra] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-09-16,India Meteorological Department (IMD)
679,freight_anomaly,Indonesia-Mundra,19,Medium,[Balikpapan / Indonesia-Mundra] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-05-21,Clarksons Intelligence
680,geopolitical,Russia-Visakhapatnam,11,Medium,[Mundra / Russia-Visakhapatnam] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2025-12-19,Maritime Security Advisory
681,geopolitical,USA-Mundra,26,High,[Vostochny / USA-Mundra] Sanction compliance verification tightening on Far East coal flows.,2021-12-29,Lloyd's List Intelligence
682,port_congestion,Indonesia-Visakhapatnam,24,Low,[Maputo / Indonesia-Visakhapatnam] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2025-08-06,Port Authority Circular
683,port_congestion,Indonesia-Dhamra,2,Low,[Visakhapatnam / Indonesia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-02-02,Terminal Operations Log
684,weather,Australia-Gangavaram,20,Medium,[Tanjung Priok / Australia-Gangavaram] Heavy monsoon swell (>4.2m) preventing safe pilot boarding at outer anchorage.,2021-06-19,JTWC Cyclone Warning
685,freight_anomaly,Australia-Visakhapatnam,8,Low,[Chennai / Australia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2025-01-08,FreightIQ Anomaly Engine
686,freight_anomaly,Mozambique-Gangavaram,26,Low,[Vostochny / Mozambique-Gangavaram] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2023-07-09,Baltic Exchange Market Monitor
687,freight_anomaly,Australia-Gangavaram,24,Low,[Maputo / Australia-Gangavaram] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2021-03-08,Baltic Exchange Market Monitor
688,port_congestion,Australia-Gopalpur,30,Medium,[Colombo / Australia-Gopalpur] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-03-08,Port Authority Circular
689,port_congestion,USA-Mundra,19,Low,[Balikpapan / USA-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-10-28,Terminal Operations Log
690,freight_anomaly,Indonesia-Paradip,26,Low,[Vostochny / Indonesia-Paradip] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2023-02-12,Clarksons Intelligence
691,geopolitical,Indonesia-Mundra,30,Low,[Colombo / Indonesia-Mundra] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2022-11-23,Ministry Trade Notice
692,geopolitical,India-Haldia,11,Low,[Mundra / India-Haldia] Canal transit quota reduction increasing reservation auction premiums.,2023-12-16,Maritime Security Advisory
693,freight_anomaly,Russia-Visakhapatnam,14,Low,[Cochin / Russia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-09-04,FreightIQ Anomaly Engine
694,freight_anomaly,Indonesia-Visakhapatnam,4,Low,[Dhamra / Indonesia-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-01-29,Baltic Exchange Market Monitor
695,geopolitical,USA-Gangavaram,24,Medium,[Maputo / USA-Gangavaram] Export tariff modification announced by major coal-producing authority.,2023-06-17,Lloyd's List Intelligence
696,port_congestion,USA-Gangavaram,23,Low,[Baltimore / USA-Gangavaram] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2021-06-26,Port Authority Circular
697,freight_anomaly,Russia-Visakhapatnam,21,Low,[Samarinda / Russia-Visakhapatnam] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-03-26,Clarksons Intelligence
698,port_congestion,Indonesia-Paradip,23,Medium,[Baltimore / Indonesia-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-08-26,Port Authority Circular
699,freight_anomaly,Australia-Gopalpur,32,Medium,[Shanghai (Qingdao) / Australia-Gopalpur] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2023-08-28,Baltic Exchange Market Monitor
700,weather,Australia-Mundra,17,High,[Newcastle / Australia-Mundra] Dense fog conditions restricting channel navigation to daylight hours only.,2021-01-18,JTWC Cyclone Warning
701,port_congestion,Indonesia-Haldia,5,Low,[Gopalpur / Indonesia-Haldia] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-06-21,Terminal Operations Log
702,weather,Russia-Visakhapatnam,17,Low,[Newcastle / Russia-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-09-01,India Meteorological Department (IMD)
703,freight_anomaly,India-Chennai,27,High,[Vanino / India-Chennai] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2023-06-10,Baltic Exchange Market Monitor
704,port_congestion,Australia-Mundra,12,Medium,[Kandla (Deendayal) / Australia-Mundra] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-04-16,Terminal Operations Log
705,freight_anomaly,Mozambique-Visakhapatnam,26,Medium,[Vostochny / Mozambique-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2022-04-04,FreightIQ Anomaly Engine
706,freight_anomaly,Mozambique-Paradip,7,Medium,[Kolkata / Mozambique-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-08-14,Baltic Exchange Market Monitor
707,geopolitical,USA-Visakhapatnam,8,Medium,[Chennai / USA-Visakhapatnam] Canal transit quota reduction increasing reservation auction premiums.,2023-03-24,Ministry Trade Notice
708,port_congestion,Indonesia-Gangavaram,16,Low,[Gladstone / Indonesia-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2024-05-20,Port Authority Circular
709,port_congestion,Mozambique-Paradip,13,Low,[Nhava Sheva (JNPT) / Mozambique-Paradip] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2022-08-04,Port Authority Circular
710,freight_anomaly,Mozambique-Visakhapatnam,30,High,[Colombo / Mozambique-Visakhapatnam] BDI index surged 250 points following unexpected chartering volume for Queensland coal.,2024-12-27,Clarksons Intelligence
711,geopolitical,USA-Mundra,29,High,[Port Klang / USA-Mundra] Sanction compliance verification tightening on Far East coal flows.,2021-10-20,Ministry Trade Notice
712,port_congestion,USA-Paradip,4,Low,[Dhamra / USA-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-04-18,AIS Congestion Tracker
713,weather,Mozambique-Visakhapatnam,4,Low,[Dhamra / Mozambique-Visakhapatnam] Dense fog conditions restricting channel navigation to daylight hours only.,2022-03-22,Marine Weather Routing Service
714,port_congestion,USA-Gangavaram,27,Low,[Vanino / USA-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2023-03-21,Terminal Operations Log
715,geopolitical,Russia-Paradip,20,Medium,[Tanjung Priok / Russia-Paradip] Canal transit quota reduction increasing reservation auction premiums.,2022-07-09,Ministry Trade Notice
716,weather,India-Chennai,5,High,[Gopalpur / India-Chennai] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2022-07-17,Marine Weather Routing Service
717,port_congestion,Australia-Dhamra,1,Medium,[Paradip / Australia-Dhamra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2025-11-27,Port Authority Circular
718,geopolitical,Australia-Dhamra,16,High,[Gladstone / Australia-Dhamra] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2023-06-23,Maritime Security Advisory
719,geopolitical,Indonesia-Gangavaram,32,High,[Shanghai (Qingdao) / Indonesia-Gangavaram] Export tariff modification announced by major coal-producing authority.,2023-09-03,Ministry Trade Notice
720,weather,Russia-Paradip,8,High,[Chennai / Russia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-01-12,India Meteorological Department (IMD)
721,weather,Australia-Haldia,25,Medium,[Beira / Australia-Haldia] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2021-11-05,India Meteorological Department (IMD)
722,port_congestion,Mozambique-Paradip,28,Medium,[Singapore / Mozambique-Paradip] High yard inventory utilization (>92%) slowing down discharge rates.,2025-06-15,Terminal Operations Log
723,freight_anomaly,Indonesia-Mundra,30,Medium,[Colombo / Indonesia-Mundra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-03-26,Baltic Exchange Market Monitor
724,freight_anomaly,Indonesia-Dhamra,10,Low,[Tuticorin (V.O.C.) / Indonesia-Dhamra] Sudden freight spike (+18% DoD) driven by tightening Capesize tonnage in Pacific basin.,2022-01-24,Baltic Exchange Market Monitor
725,port_congestion,Australia-Gangavaram,10,Medium,[Tuticorin (V.O.C.) / Australia-Gangavaram] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-12-05,AIS Congestion Tracker
726,port_congestion,Indonesia-Haldia,7,Low,[Kolkata / Indonesia-Haldia] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2023-08-14,Terminal Operations Log
727,freight_anomaly,Indonesia-Paradip,7,Low,[Kolkata / Indonesia-Paradip] Bunker fuel price volatility exceeds 90th percentile following crude market rally.,2024-08-29,FreightIQ Anomaly Engine
728,weather,Mozambique-Visakhapatnam,4,Low,[Dhamra / Mozambique-Visakhapatnam] Typhoon warning in South China Sea requiring southern deviation for westbound bulkers.,2024-10-28,Marine Weather Routing Service
729,weather,Australia-Paradip,6,Medium,[Haldia / Australia-Paradip] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2022-07-11,JTWC Cyclone Warning
730,port_congestion,Australia-Gopalpur,5,High,[Gopalpur / Australia-Gopalpur] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2024-09-22,Terminal Operations Log
731,port_congestion,Indonesia-Haldia,12,Medium,[Kandla (Deendayal) / Indonesia-Haldia] High yard inventory utilization (>92%) slowing down discharge rates.,2023-02-07,Terminal Operations Log
732,freight_anomaly,Australia-Mundra,13,Low,[Nhava Sheva (JNPT) / Australia-Mundra] Panamax Atlantic round voyage rates collapsed -12% on low grain demand.,2022-07-10,Baltic Exchange Market Monitor
733,geopolitical,India-Haldia,2,Medium,[Visakhapatnam / India-Haldia] Red Sea security advisory prompting operators to route via Cape of Good Hope (+14 days).,2021-01-11,Maritime Security Advisory
734,port_congestion,Mozambique-Paradip,28,Low,[Singapore / Mozambique-Paradip] Berth queue exceeding 12 vessels; average waiting time rose to 78 hours.,2022-05-01,Port Authority Circular
735,port_congestion,Indonesia-Mundra,5,Medium,[Gopalpur / Indonesia-Mundra] Tidal window restrictions combined with dredging operations causing vessel hold-ups.,2024-10-04,Terminal Operations Log
736,weather,Mozambique-Visakhapatnam,19,Low,[Balikpapan / Mozambique-Visakhapatnam] Tropical Cyclone alert issued for Bay of Bengal; port operations suspended for 48 hours.,2024-09-14,India Meteorological Department (IMD)
737,port_congestion,Indonesia-Dhamra,6,Medium,[Haldia / Indonesia-Dhamra] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2021-08-03,AIS Congestion Tracker
738,port_congestion,Australia-Visakhapatnam,31,Medium,[Rotterdam / Australia-Visakhapatnam] Mechanized coal conveyor breakdown causing delayed discharge at mechanized berths.,2024-04-11,AIS Congestion Tracker
739,port_congestion,Russia-Visakhapatnam,1,Low,[Paradip / Russia-Visakhapatnam] High yard inventory utilization (>92%) slowing down discharge rates.,2022-09-25,AIS Congestion Tracker
740,geopolitical,Mozambique-Visakhapatnam,29,Low,[Port Klang / Mozambique-Visakhapatnam] Canal transit quota reduction increasing reservation auction premiums.,2025-07-11,Lloyd's List Intelligence
741,port_congestion,Mozambique-Gangavaram,20,Medium,[Tanjung Priok / Mozambique-Gangavaram] High yard inventory utilization (>92%) slowing down discharge rates.,2025-11-28,Port Authority Circular
